iter	Passed	Remaining
0	133	133233
1	134	67085
2	135	45031
3	136	33961
4	136	27257
5	137	22828
6	138	19655
7	139	17274
8	140	15422
9	140	13931
10	141	12716
11	142	11713
12	143	10859
13	143	10117
14	144	9485
15	145	8928
16	146	8442
17	146	8006
18	147	7610
19	148	7252
20	148	6936
21	149	6650
22	150	6386
23	151	6142
24	151	5917
25	152	5712
26	153	5519
27	153	5343
28	154	5181
29	155	5026
30	156	4888
31	157	4753
32	157	4627
33	158	4511
34	159	4401
35	160	4299
36	161	4205
37	162	4113
38	163	4026
39	164	3946
40	165	3870
41	166	3795
42	167	3721
43	167	3650
44	168	3582
45	169	3518
46	170	3457
47	171	3401
48	172	3346
49	174	3309
50	175	3262
51	176	3219
52	177	3175
53	178	3132
54	179	3092
55	181	3052
56	182	3015
57	183	2977
58	184	2939
59	185	2903
60	186	2869
61	187	2835
62	188	2806
63	189	2775
64	191	2747
65	192	2719
66	193	2689
67	194	2661
68	195	2633
69	196	2609
70	197	2584
71	198	2560
72	199	2536
73	200	2513
74	201	2491
75	203	2470
76	204	2448
77	205	2425
78	206	2404
79	207	2382
80	208	2362
81	209	2343
82	209	2317
83	210	2299
84	211	2281
85	212	2262
86	213	2243
87	214	2224
88	215	2207
89	216	2191
90	217	2176
91	219	2162
92	220	2146
93	221	2130
94	221	2114
95	222	2098
96	223	2084
97	224	2069
98	225	2055
99	226	2041
100	227	2028
101	228	2013
102	229	2000
103	230	1986
104	231	1973
105	232	1961
106	233	1948
107	234	1936
108	235	1923
109	236	1912
110	237	1900
111	238	1888
112	239	1877
113	240	1866
114	241	1855
115	241	1844
116	242	1831
117	243	1821
118	244	1810
119	245	1799
120	246	1789
121	246	1777
122	247	1766
123	248	1757
124	249	1746
125	250	1737
126	251	1726
127	252	1717
128	253	1709
129	254	1700
130	255	1692
131	256	1683
132	256	1674
133	257	1666
134	258	1658
135	259	1650
136	260	1641
137	261	1633
138	262	1626
139	263	1619
140	264	1611
141	265	1601
142	265	1594
143	266	1586
144	267	1579
145	268	1571
146	269	1564
147	270	1558
148	271	1551
149	272	1544
150	273	1538
151	274	1533
152	275	1527
153	276	1521
154	277	1514
155	278	1507
156	279	1501
157	280	1495
158	281	1488
159	282	1482
160	283	1475
161	284	1469
162	285	1463
163	285	1457
164	286	1451
165	287	1445
166	288	1439
167	289	1433
168	290	1427
169	291	1422
170	292	1416
171	293	1410
172	294	1406
173	295	1400
174	296	1395
175	297	1390
176	297	1385
177	298	1380
178	299	1374
179	300	1369
180	301	1364
181	302	1359
182	303	1354
183	304	1350
184	305	1345
185	306	1341
186	307	1336
187	308	1332
188	309	1328
189	310	1324
190	312	1321
191	313	1318
192	314	1314
193	315	1310
194	316	1306
195	317	1302
196	318	1298
197	319	1294
198	320	1289
199	321	1285
200	322	1282
201	323	1278
202	324	1274
203	325	1270
204	326	1265
205	327	1262
206	328	1258
207	329	1254
208	330	1250
209	331	1246
210	332	1242
211	333	1238
212	333	1233
213	334	1230
214	335	1225
215	336	1222
216	337	1218
217	338	1214
218	339	1210
219	340	1206
220	341	1202
221	342	1198
222	342	1194
223	343	1191
224	344	1187
225	345	1184
226	346	1180
227	347	1176
228	348	1173
229	349	1170
230	350	1166
231	351	1164
232	352	1160
233	353	1157
234	354	1154
235	355	1151
236	356	1149
237	357	1145
238	358	1142
239	359	1139
240	360	1135
241	361	1132
242	362	1129
243	363	1126
244	364	1123
245	365	1119
246	366	1116
247	367	1113
248	367	1109
249	368	1106
250	369	1103
251	370	1100
252	371	1097
253	372	1094
254	373	1092
255	374	1089
256	375	1086
257	376	1084
258	378	1081
259	379	1079
260	380	1076
261	381	1074
262	382	1072
263	383	1069
264	384	1067
265	385	1064
266	387	1062
267	388	1060
268	389	1058
269	390	1056
270	391	1053
271	393	1051
272	394	1049
273	395	1047
274	396	1045
275	397	1043
276	399	1041
277	400	1039
278	401	1037
279	402	1034
280	403	1032
281	404	1029
282	405	1027
283	406	1024
284	407	1021
285	408	1019
286	409	1016
287	410	1014
288	411	1011
289	412	1009
290	413	1006
291	414	1004
292	415	1002
293	416	1000
294	417	998
295	418	995
296	419	993
297	420	991
298	422	989
299	423	987
300	424	985
301	425	983
302	426	981
303	427	979
304	428	977
305	429	975
306	431	973
307	432	971
308	433	969
309	434	966
310	435	964
311	436	962
312	437	960
313	438	958
314	439	955
315	440	953
316	441	950
317	442	948
318	443	946
319	444	943
320	445	941
321	446	939
322	447	937
323	448	935
324	449	933
325	450	931
326	451	929
327	452	927
328	453	924
329	454	922
330	455	920
331	456	918
332	457	916
333	458	914
334	459	912
335	460	909
336	461	907
337	462	905
338	463	903
339	464	901
340	465	899
341	466	896
342	467	894
343	467	892
344	468	890
345	469	888
346	470	886
347	471	883
348	472	881
349	473	879
350	474	877
351	475	875
352	476	873
353	477	870
354	478	868
355	479	866
356	480	864
357	481	863
358	482	861
359	483	859
360	484	856
361	484	854
362	485	852
363	486	849
364	487	847
365	488	845
366	488	843
367	489	840
368	490	839
369	491	837
370	492	835
371	493	833
372	494	830
373	495	829
374	496	827
375	497	824
376	497	822
377	498	820
378	499	818
379	500	816
380	501	814
381	502	812
382	503	810
383	504	808
384	504	806
385	505	804
386	506	802
387	507	800
388	508	798
389	509	796
390	510	795
391	511	793
392	512	791
393	513	789
394	514	787
395	514	785
396	515	783
397	516	781
398	518	780
399	519	778
400	519	776
401	520	774
402	521	772
403	522	771
404	523	769
405	524	767
406	525	765
407	526	763
408	527	762
409	528	760
410	529	758
411	529	756
412	530	754
413	531	752
414	532	750
415	533	748
416	534	746
417	535	744
418	535	743
419	536	741
420	537	739
421	538	737
422	539	736
423	540	734
424	542	733
425	543	731
426	543	729
427	545	728
428	546	726
429	547	725
430	548	723
431	549	722
432	550	720
433	551	718
434	551	716
435	552	715
436	553	713
437	554	712
438	555	710
439	556	708
440	558	707
441	559	705
442	559	704
443	560	702
444	561	700
445	562	698
446	563	697
447	564	695
448	565	693
449	566	692
450	567	690
451	568	688
452	569	687
453	570	685
454	570	683
455	571	682
456	572	680
457	573	679
458	574	677
459	575	675
460	576	674
461	577	672
462	578	670
463	579	668
464	579	667
465	580	665
466	581	663
467	582	662
468	583	660
469	584	658
470	584	656
471	585	655
472	586	653
473	587	652
474	588	650
475	589	649
476	590	647
477	591	645
478	592	644
479	593	642
480	594	641
481	595	639
482	596	638
483	597	636
484	598	635
485	599	633
486	599	632
487	600	630
488	601	628
489	602	627
490	603	626
491	604	624
492	605	623
493	607	621
494	608	620
495	609	618
496	610	617
497	611	616
498	612	614
499	613	613
500	614	612
501	615	610
502	616	608
503	617	607
504	618	606
505	619	604
506	620	603
507	621	601
508	622	600
509	623	598
510	624	597
511	625	596
512	626	594
513	627	593
514	628	591
515	629	590
516	630	589
517	631	588
518	633	586
519	634	585
520	635	584
521	636	582
522	637	581
523	638	579
524	639	578
525	640	577
526	641	575
527	642	574
528	644	573
529	645	572
530	646	571
531	647	569
532	648	568
533	649	566
534	650	565
535	651	564
536	652	562
537	653	561
538	654	559
